chartName,category,img,link,description
Abweichungsbalken,Abweichung,abweichungsbalken.svg,TRUE,"Ein einfaches Standard-Balkendiagramm, das sowohl negative als auch positive Betragswerte bewältigen kann."
Gestaffelte Abweichungsbalken,Abweichung,gestaffelte-abweichungsbalken.svg,TRUE,"Für die Präsentation von Umfrageergebnissen, die Stimmungen beinhalten (z.B. Uneinigkeit, Neutralität, Zustimmung)."
Spine-Diagramm,Abweichung,spine-diagramm.svg,TRUE,"Teilt einen einzelnen Wert in zwei gegensätzliche Komponenten auf (z.B. männlich/weiblich)."
Über-/Unterdeckung gefüllte Linie,Abweichung,ueber-unterdeckung-gefüllte-linie.svg,TRUE,"Der schattierte Bereich dieser Diagramme ermöglicht die Darstellung einer Bilanz – entweder gegen eine Grundlinie oder zwischen zwei Serien."
Säulendiagramm mit Zeitleiste,Korrelation,saeulendiagramm-zeitleiste.svg,https://dwbrand.frontify.com/document/22#/saeulendiagramm-zeitleiste-1542386072,"Eine gute Möglichkeit, die Beziehung zwischen einem Betrag (Säulendiagramm) und einem Kurs (Liniendiagramm) darzustellen."
Verbundenes Streudiagramm,Korrelation,verbundenes-streudiagramm.svg,TRUE,"Gewöhnlich verwendet, um zu zeigen, wie sich die Beziehung zwischen 2 Variablen im Laufe der Zeit verändert hat."
Blasendiagramm,Korrelation,blasendiagramm.svg,TRUE,"Wie ein Streudiagramm, fügt aber zusätzliche Details hinzu, indem man die Kreise nach einer dritten Variable sortiert."
XY Heatmap,Korrelation,xy-heatmap.svg,TRUE,"Eine gute Möglichkeit, die Muster zwischen 2 Kategorien von Daten zu zeigen, weniger gut bei der Anzeige von feinen Differenzen in Mengen."
Geordnetes Balkendiagramm,Rangfolge,geordnetes-balkendiagramm.svg,https://dwbrand.frontify.com/document/22#/liniendiagramm,"Standard-Balkendiagramme zeigen die Wertigkeitsstufen wesentlich einfacher an, wenn sie in der Reihenfolge sortiert werden."
Geordnetes Säulendiagramm,Rangfolge,geordnetes-saeulendiagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,"Siehe Geordnetes Balkendiagramm."
Geordnete Proportionale Symbole,Rangfolge,geordnete-proportionale-symbole.svg,https://dwbrand.frontify.com/document/22#/proportionale-symbole,"Zu verwenden, wenn es große Unterschiede zwischen den Werten gibt und/oder wenn kleine Abweichungen zwischen den Daten nicht so wichtig sind."
Punkt-Streifen-Darstellung,Rangfolge,punkt-streifen-darstellung.svg,TRUE,"Punkte, die auf einem Streifen angeordnet sind, sind eine platzsparende Methode, um Rangfolgen über mehrere Kategorien hinweg anzuordnen."
Steigungsdiagramm,Rangfolge,steigungsdiagramm.svg,https://dwbrand.frontify.com/document/22#/steigungsdiagramm,"Perfekt, um zu zeigen, wie sich die Rangfolge zwischen zwei Zeitpunkten verändert hat oder von Kategorie zu Kategorie variiert."
"'Lollipop'",Rangfolge,lollipop-diagramm.svg,TRUE,"Lollipops lenken mehr Aufmerksamkeit auf den Datenwert als herkömmliche Balken/Spalten und können auch Rang und Wert effektiv anzeigen."
"'Bump'",Rangfolge,bump-diagramm.svg,TRUE,"Effektiv für die Anzeige wechselnder Rankings über mehrere Daten hinweg. Bei großen Datensätzen sollten Sie die Gruppierung von Linien mit Farbe in Betracht ziehen."
Histogramm,Verteilung,histogramm.svg,TRUE,"Die Standardmethode zur Darstellung einer statistischen Verteilung – halten Sie die Säulenabstände klein, um die „Form“ der Daten hervorzuheben."
Hanteldiagramm,Verteilung,hanteldiagramm.svg,https://dwbrand.frontify.com/document/22#/hanteldiagramm,"Eine einfache Möglichkeit, die die Differenz zwischen Datenpunkten (zB min/max) über mehrere Kategorien hinweg anzuzeigen."
Punkt-Streifen-Darstellung,Verteilung,punkt-streifen-darstellung.svg,TRUE,"Gut für die Darstellung einzelner Werte in einer Verteilung, kann ein Problem sein, wenn zu viele Punkte den gleichen Wert haben."
Strichcode-Diagramm,Verteilung,strichcode-diagramm.svg,TRUE,"Wie Punkt-Streifen-Diagramme, die für die Darstellung aller Daten in einer Tabelle geeignet sind, funktionieren sie am besten, wenn sie einzelne Werte hervorheben."
"'Violin plot'",Verteilung,violin-plot.svg,TRUE,"Ähnlich einem Boxplot, aber effektiver bei komplexen Verteilungen (Daten, die sich nicht mit einfachem Durchschnitt zusammenfassen lassen)."
Bevölkerungspyramide,Verteilung,bevoelkerungspyramide.svg,TRUE,"Ein Standardverfahren zur Darstellung der Alters- und Geschlechtsverteilung einer Populationsverteilung; effektiv, also Back-to-Back-Histogramm"
Summenkurve,Verteilung,summenkurve.svg,TRUE,"Ein guter Weg, um zu zeigen, wie ungleich eine Verteilung ist: Die y-Achse ist immer eine Summenhäufigkeit, die x-Achse ist immer ein Maß."
"Frequency polygons",Verteilung,frequency-polygons.svg,TRUE,"Für die Anzeige mehrerer Datenverteilungen. Wie ein normales Liniendiagramm, am besten begrenzt auf maximal 3 oder 4 Datensätze."
Liniendiagramm,Zeitliche Veränderung,liniendiagramm.svg,https://dwbrand.frontify.com/document/22#/liniendiagramm,"Die Standardmethode, um eine sich ändernde Zeitreihe darzustellen. Wenn die Daten unregelmäßig sind, sollten Sie Marker in Betracht ziehen, um Datenpunkte darzustellen."
